city,population_score,road_access,traffic
Downtown_StPaul,10,9,9
University_Ave,9,8,8
Midway,8,8,6
Como_Park,6,6,4
East_Side,7,7,5
Highland_Park,7,7,3
West_7th,8,8,7
North_End,6,6,5
Frogtown,8,7,6
Macalester,6,6,4
Summit_Hill,7,7,5
Roseville,7,7,5
Maplewood,6,7,4
Falcon_Heights,5,5,3
Minneapolis_Downtown,10,10,10
Lauderdale,4,5,3
Oakdale,5,6,3
Woodbury,7,7,4
Mendota_Heights,5,6,3
Lilydale,4,5,2
Little_Canada,5,6,3
Shoreview,6,6,3
West_StPaul,6,6,4
South_StPaul,6,6,4
Uptown,9,8,8
Dinkytown,8,7,7
Cottage_Grove,5,5,3
Eagan,7,7,4
